WLHv,RH,EV24,QMeuse,QRhine,value,coordsys,lon,lat,station
-18.395833333333332,1.0,24.0,290.0,2579.0,269.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-3.2238805970149254,177.0,23.0,167.0,1914.0,290.68,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-13.020833333333334,46.0,17.0,158.0,1864.0,289.52,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
2.6180555555555554,77.0,23.0,144.0,1777.0,287.88,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
5.8125,43.0,17.0,151.0,1759.0,290.92,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-0.11805555555555555,4.0,25.0,162.0,1751.0,290.04,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-5.270833333333333,11.0,25.0,166.0,1752.0,293.56,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-12.055555555555555,25.0,21.0,133.0,1817.0,292.16,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-11.756944444444445,0.05,32.0,148.0,1933.0,292.08,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-20.5,0.05,33.0,182.0,2336.0,280.6,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-18.395833333333332,64.0,37.0,179.0,2754.0,265.56,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-14.625,1.0,41.0,163.0,2961.0,263.52,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-12.458333333333334,2.0,37.0,145.0,2912.0,259.96,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-11.381944444444445,4.0,33.0,417.0,2832.0,257.44,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-0.9305555555555556,0.05,40.0,628.0,2702.0,258.56,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
0.7847222222222222,67.0,29.0,459.0,2732.0,257.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-1.125,3.0,32.0,442.0,3063.0,217.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-2.5694444444444446,0.05,23.0,284.0,3109.0,199.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-0.7430555555555556,0.0,30.0,188.0,2851.0,250.16,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-15.604166666666666,66.0,11.0,171.0,2693.0,249.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.583333333333333,0.05,23.0,170.0,2588.0,262.52,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-44.49305555555556,0.0,40.0,179.0,2613.0,271.08,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-2.4375,0.05,20.0,176.0,2590.0,269.64,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.5625,1.0,22.0,159.0,2472.0,268.48,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
16.9375,10.0,28.0,175.0,2369.0,276.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
11.6875,48.0,19.0,124.0,2292.0,278.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-2.888888888888889,0.05,14.0,125.0,2255.0,277.2,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-16.104166666666668,0.05,30.0,138.0,2213.0,279.56,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
